구분,내용
인삿말,"안녕
안녕하세요! MonoGuard 어시스턴트입니다! 무엇을 도와드릴까요?"
인삿말,"안녕하세요
안녕하세요! MonoGuard 어시스턴트입니다."
시스템 소개,"너는 누구야
저는 멀티모달 데이터를 활용한 운송 장치의 예지보전 모니터링 시스템입니다."
시스템 소개,"MonoGuard란 무엇인가요?
Monoguard는 멀티모달 데이터를 활용한 운송 장치의 예지보전 모니터링 시스템입니다."
주요 서비스 내용,"Monoguard의 주요 기능은 무엇인가요?
머신러닝으로 고장 가능성을 예측하고 멀티모달 데이터를 활용해 장비 동작을 최적화합니다."
주요 서비스 내용,"Monoguard의 주요 기능은 무엇인가요?
챗봇 기능으로 원하시는 정보를 말씀드립니다."
주요 서비스 내용,"Monoguard의 주요 기능은 무엇인가요?
특정 임계값 초과 시 사용자 및 관리자에게 알람을 제공합니다."
"	챗봇 기능	","챗봇 기능에 대해 설명해주세요	
AI 기반 자동 보고서를 작성하며, 이상 탐지 시스템의 이벤트 로그를 기반으로 상세 분석 결과를 제공합니다."
모니터링 시스템,"모니터링 시스템에 대해 설명해주세요
사용자는 대시보드에서 데이터를 기반으로 예측된 고장 가능성과 최적 작업 조건을 확인할 수 있습니다."
기대 효과,"이 서비스의 장점은 무엇인가요?
다중 센서 데이터를 활용하여 AI 모델의 분석 정확도를 높이고, 안전성과 생산성을 강화합니다."
기대 효과,"이 서비스의 장점은 무엇인가요?
설비 고장 및 인명사고를 예방하며, 유지보수 비용을 절감합니다."
OHT-OCS 소개,"OHT-OCS란 무엇인가요?
OHT-OCS(Overhead Hoist Transport - Control System)는 반도체 제조 공정에서 웨이퍼 보관용기를 자동으로 이송하는 OHT 시스템을 제어하는 장치입니다. 이 시스템은 천장에 설치된 레일을 따라 이동하는 OHT를 관리하며, 공정 간의 물류 이송을 자동화하여 생산 효율성을 높입니다."
OHT-OCS 경로 할당,"특정 OHT의 경로를 어떻게 할당하나요?
OCS는 MCS에서 전달받은 작업 지시를 바탕으로 현재 상태를 분석하고, 최적의 OHT를 선택합니다. SA 시스템은 Dijkstra 알고리즘을 사용하여 목적지까지의 최단 경로를 계산하고 OHT에 명령을 전달합니다."
OHT-OCS 경로 변경,"OHT 경로에 장애물이 생기면 어떻게 대응하나요?
SA 시스템은 OCS로부터 Block 이벤트(Type A05)를 수신한 후, 새로운 경로를 계산하여 OHT에 전달합니다. 상황에 따라 'Go' 또는 'MustGo' 명령을 통해 임시 목적지로 이동하도록 조정합니다."
OHT-OCS 경로 변경,"OHT가 정해진 목적지에 도착하지 못하면 어떻게 조치해야 하나요?
이 경우 경로 재할당 명령을 통해 새로운 최적 경로를 계산하고, 필요하면 관리자가 수동으로 이동 명령을 내릴 수 있습니다."
OHT-OCS 작업 중지,"OHT 작업 중지 명령은 언제 사용되나요?
작업 중지(Pause) 명령은 OHT가 From 또는 To 명령 수행 중 고장 발생, 경로 장애물, 또는 긴급 정지가 필요한 경우에 사용됩니다. OCS는 관련 데이터를 SA 시스템에 전송하여 중지 상태를 관리합니다."
OHT-OCS 이벤트 처리,"OHT 작업 도중 발생하는 이벤트는 어떻게 관리되나요?
OCS는 SA 시스템으로 이벤트 로그(Type B03)를 전송하며, SA 시스템은 이를 분석하여 작업 우선순위, 경로 변경, 또는 작업 중지를 결정합니다."
OHT 사용법,"중지된 OHT 작업을 다시 시작하려면 어떻게 하나요?
작업 재개(Resume) 명령은 중지된 OHT가 정상적으로 작동 가능할 때 OCS가 SA 시스템으로부터 명령을 전달받아 실행합니다. 시스템은 마지막 상태를 기준으로 명령을 이어갑니다."
OHT-OCS 관련 문의,"OHT 관련 부서의 연락처는 무엇인가요?
관련 부서로 문의부탁드립니다. 관련 부서 연락처는 031-000-0000입니다."
OHT-OCS 관련 문의,"그래도 OHT 작동에 오류가 있습니다. 어떻게 해야되나요?
관련 부서로 문의부탁드립니다. 관련 부서 연락처는 031-000-0000입니다."
OHT-OCS 관련 문의,"오류 발생 시 OHT는 어떻게 복구되나요?
오류가 발생하면, OCS는 알람 이벤트(Type B05)를 SA 시스템에 전송합니다. SA 시스템은 새로운 작업 계획을 수립하고, OCS가 복구 작업 명령(Type B06)을 실행하도록 요청합니다."
OHT 사용법,"OHT를 처음 사용할 때는 어떻게 시작해야 하나요?
OHT를 사용하려면 먼저 전원을 켜고, 시스템 상태를 확인하세요. 그리고 OCS에서 명령을 내리기 전에 모든 경로와 레일이 정상인지 체크하면 됩니다. 간단히 말하면, ""OHT야, 준비됐니?""라고 묻는 거예요!"
OHT 사용법,"FOUP을 적재하려면 어떻게 하나요?
""From"" 명령을 내리면 OHT가 지정된 위치로 가서 FOUP을 자동으로 적재해요. 따로 손댈 필요 없이, ""이거 가져가"" 하면 끝이에요."
OHT 사용법,"OHT의 이동 경로는 어떻게 설정하나요?
이동 경로는 SA 시스템이 자동으로 최적 경로를 계산해요. 예를 들어, ""여기서 저기로 가야 하는데 가장 빠른 길로 가!""라고 지시하면 되죠."
OHT 사용법,"OHT 이동 중에 멈춰야 하면 어떻게 하나요?
""Pause"" 명령을 사용하면 됩니다. 예를 들어, ""잠깐 멈춰! 앞에 뭐 있는 것 같아!"" 하고 말하는 느낌이에요."
OHT 사용법,"멈춘 OHT 작업을 다시 시작하려면요?
""Resume"" 명령으로 멈췄던 작업을 이어가면 돼요. ""다시 움직여도 좋아!""라고 명령하는 거죠."
OHT 사용법,"OHT 작업 도중 명령을 취소하려면 어떻게 하나요?
작업이 시작되기 전에 취소하려면 ""Cancel"" 명령을, 작업이 진행 중이라면 ""Abort"" 명령을 사용하세요. 예를 들어, ""아니야, 하지 마! 다시 생각해볼게!"" 같은 상황이죠."
OHT 사용법,"OHT 경로에 장애물이 생기면 어떻게 해야 하나요?
OCS가 ""Block"" 상황을 감지하면 SA 시스템이 새로운 경로를 자동으로 계산해요. ""길이 막혔어, 다른 길 찾아볼게!"" 같은 거죠."
OHT 사용법,"OHT가 지정된 위치에서 정확히 정차하지 않으면 어떻게 해결하나요?
이 경우, 위치 센서, 레일 상태, 가이드 시스템을 점검해야 하며, 필요 시 SA 시스템을 통해 정밀 조정이 필요합니다."
OHT 사용법,"OHT 시스템을 특정 구역에서만 작동하도록 설정할 수 있나요?
네, OCS 시스템을 통해 작업 구역을 설정하여 OHT가 특정 구역 내에서만 이동하도록 제한할 수 있습니다."
